policy,game_id,game_ts,entry_ts,side,edge,kelly_f,cap_pct_used,wager_kelly,wager_post_portfolio,rolling_cap,cumulative_cap,allowed_dollars,wager,n_contracts,fill_pct,entry_px_actual,binding,visible_pool,recent_pool,cumulative_pool,fee,pnl,won,bankroll,bankroll_before
phase_10k_then_12,185c1d82-80ca-427a-bb34-b717e2127e2e,2025-07-30 23:00:00+00:00,2025-07-30 05:30:00+00:00,YES,0.15933475494384763,0.2655579249064127,0.12,1515.4918366361176,1369.6373057623825,41.020500000000006,82.04100000000001,41.020500000000006,41.020500000000006,103.87625000000001,1.0,0.39489777499669076,rolling_liq,273.47,273.47,273.47,1.74,61.115750000000006,1,11474.759964686522,11413.644214686521
phase_10k_then_12,c2f7980e-2390-45e9-8977-c6e6d2c1f545,2025-07-31 00:00:00+00:00,2025-07-30 07:00:00+00:00,NO,0.09089968681335447,0.12452011892240339,0.12,714.4192377043995,714.4192377043995,743.928,1475.7030000000002,714.4192377043995,714.4192377043995,2747.9586065553826,1.0,0.25998180467497556,kelly,4958.27,4959.52,4919.010000000001,37.01,-751.4292377043995,0,10723.330726982122,11474.759964686522
phase_10k_then_12,e8241b1f-576e-4bcf-b7d0-79606aa78b00,2025-07-31 00:00:00+00:00,2025-07-30 15:30:00+00:00,NO,0.16516225516796124,0.434637513599898,0.12,2330.380902342448,1286.7996872378546,1726.7504999999996,3227.4,1286.7996872378546,1286.7996872378546,2257.5433109436053,1.0,0.5699999999999998,portfolio,10758.0,11511.669999999998,10758.0,38.74,932.0036237057507,1,11655.334350687872,10723.330726982122
phase_10k_then_12,50578d4e-21ed-488c-ac01-1008b9b70e0d,2025-07-31 23:30:00+00:00,2025-07-31 05:45:00+00:00,NO,0.1513962113857269,0.2566037481114015,0.12,1495.401239939038,1398.6401220825446,1223.4164999999998,2446.8329999999996,1223.4164999999998,1223.4164999999998,3502.675714285713,1.0,0.3492805500121744,rolling_liq,8156.109999999999,8156.109999999999,8156.109999999999,55.73,2223.5292142857134,1,13878.863564973584,11655.334350687872
phase_10k_then_12,a1ca524f-e7ce-449f-ab32-66adea0ba523,2025-08-01 23:30:00+00:00,2025-08-01 05:45:00+00:00,NO,0.15966734647750846,0.3894325523841671,0.12,2702.4406311496414,1665.46362779683,172.96349999999998,345.92699999999996,172.96349999999998,172.96349999999998,295.7686440677966,1.0,0.5847932276429986,rolling_liq,1153.09,1153.09,1153.09,5.03,117.77514406779659,1,13996.638709041381,13878.863564973584
phase_10k_then_12,64fb0c10-3ce1-4592-a3f9-65395a9e58af,2025-08-01 23:30:00+00:00,2025-08-01 15:00:00+00:00,YES,0.10673018932342532,0.18089862597190728,0.12,1265.986355345398,1265.986355345398,976.8615,1937.8559999999998,976.8615,976.8615,2580.003947368421,1.0,0.3786279090760265,rolling_liq,6512.41,6512.41,6459.5199999999995,42.49,1560.652447368421,1,15557.291156409801,13996.638709041381
phase_10k_then_12,de06dc94-ceb2-41b8-bde0-f9f91c917d00,2025-08-03 22:00:00+00:00,2025-08-03 06:00:00+00:00,NO,0.07582804679870603,0.10531673166486949,0.12,819.2215290759291,819.2215290759291,247.6695,427.425,247.6695,247.6695,1008.4780000000001,1.0,0.24558740993854103,rolling_liq,1443.7900000000002,1651.13,1424.75,13.08,-260.7495,0,15296.541656409801,15557.291156409801
phase_10k_then_12,1dffe97b-d132-4697-af9f-8b08902da90d,2025-08-03 22:00:00+00:00,2025-08-03 06:00:00+00:00,YES,0.05085827469825738,0.05913752871890393,0.12,452.2998357529225,452.2998357529225,325.302,613.035,325.302,325.302,2596.4769230769225,1.0,0.12528591997440322,rolling_liq,2062.3,2168.6800000000003,2043.45,19.92,-345.22200000000004,0,14951.319656409802,15296.541656409801
phase_10k_then_12,cd325282-98cc-46dd-a9f0-e2d5d887b51f,2025-08-06 00:00:00+00:00,2025-08-05 07:00:00+00:00,YES,0.09239223599433899,0.12318964799245198,0.12,920.9239027478758,920.9239027478758,34.357499999999995,65.865,34.357499999999995,34.357499999999995,143.15624999999997,1.0,0.24000000000000002,rolling_liq,229.04999999999998,229.04999999999998,219.54999999999998,1.83,106.96874999999999,1,15058.288406409802,14951.319656409802
phase_10k_then_12,6a9e0ff7-c5b4-4a72-b217-41dc4a8caa4f,2025-08-06 02:00:00+00:00,2025-08-05 07:00:00+00:00,NO,0.3618546456098557,0.6579175374724648,0.12,4953.556013447652,1806.9946087691762,13.987499999999999,27.974999999999998,13.987499999999999,13.987499999999999,31.857954545454543,1.0,0.43905831995719635,rolling_liq,93.25,93.25,93.25,0.55,17.32045454545454,1,15075.608860955255,15058.288406409802
