game_id,game_ts_static,entry_ts_static,side_static,edge_static,entry_px_static,p_side_static,wager_static,n_contracts_static,entry_px_actual_static,won_static,pnl_static,wager_dynamic,n_contracts_dynamic,entry_px_actual_dynamic,won_dynamic,pnl_dynamic,n_pause_events_dynamic,n_resume_events_dynamic,fill_ratio_vs_qmax_dynamic
2fb00c07-3995-4420-aa53-e0b95160a91a,2025-09-18 02:00:00+00:00,2025-09-17 16:15:00+00:00,YES,0.07049068570137018,0.19,0.2604906857013702,2276.445796958001,13824.798805635306,0.16466393681115052,0,-2409.565796958001,3369.291980423249,19925.12929660734,0.16909762191590594,0.0,-3565.2619804232486,27.0,4.0,1.4212128819912464
30981dda-706d-44fc-9eb4-b6f8c5a3e874,2025-09-24 01:30:00+00:00,2025-09-22 23:30:00+00:00,NO,0.11262015342712406,0.20999999999999996,0.322620153427124,2506.199999999999,12531.0,0.1999999999999999,0,-2646.549999999999,2503.9999999999986,12520.0,0.1999999999999999,0.0,-2644.2299999999987,0.0,0.0,0.6398010040918848
31d89653-50a1-4688-b507-15c8e12dad33,2025-09-09 23:30:00+00:00,2025-09-09 12:30:00+00:00,NO,0.16207829356193537,0.56,0.7220782935619354,6315.510000000001,11568.0,0.5459465767634856,0,-6516.250000000001,5478.0199999999995,10070.0,0.5439940417080437,0.0,-5652.889999999999,0.0,0.0,0.44609442223509027
326d833a-4a17-4fec-882e-c3699065a0ed,2025-06-18 00:00:00+00:00,2025-06-17 07:00:00+00:00,NO,0.11250839233398435,0.15000000000000002,0.2625083923339844,246.98,2058.0,0.12000971817298348,0,-262.2,246.98000000000002,2058.0,0.12000971817298349,0.0,-262.20000000000005,0.0,0.0,0.9403941819555642
32cb5f24-0d87-4645-a3fd-dd1e0fd1a4f6,2025-07-23 00:00:00+00:00,2025-07-22 06:00:00+00:00,NO,0.09330237627029414,0.18000000000000005,0.2733023762702942,515.9328292560396,2867.460162533553,0.17992676445770933,0,-545.5528292560396,382.54641345825013,2126.424519212501,0.17990124267374522,0.0,-404.5164134582501,74.0,0.0,1.0005489529965839
333e71e9-d362-4003-836b-7d936322e7d2,2025-07-16 00:00:00+00:00,2025-07-15 06:00:00+00:00,YES,0.06468308866024008,0.1,0.1646830886602401,527.561191725743,5275.611917257429,0.10000000000000002,0,-560.801191725743,448.98983501777457,4489.898350177746,0.1,0.0,-477.2798350177746,77.0,0.0,1.0
3495c00d-950e-4e49-87e6-3a022d1d9c1b,2025-08-17 19:00:00+00:00,2025-08-17 03:45:00+00:00,YES,0.1182247066497803,0.41,0.5282247066497803,1574.4599999999998,3847.0,0.40926956069664666,1,2207.43,1568.72,3833.0,0.40926689277328465,1.0,2199.41,0.0,0.0,0.27289993792461437
36996288-3356-4ce9-b751-b31f6890cd69,2025-06-22 19:00:00+00:00,2025-06-22 07:15:00+00:00,YES,0.12237302303314207,0.46,0.5823730230331421,190.90000000000003,415.0,0.4600000000000001,1,216.87999999999997,186.3,405.0,0.46,1.0,211.64999999999998,0.0,0.0,0.3842179517777219
3a283716-466b-440c-a344-5994da2e16aa,2025-08-10 00:30:00+00:00,2025-08-09 13:15:00+00:00,YES,0.124353095293045,0.36,0.484353095293045,1642.643160694951,4740.837601985574,0.3464879623817895,1,3023.044441290623,1612.4749320586595,4501.469781641534,0.3582107645451403,1.0,2816.544849582874,181.0,2.0,1.1312781717940197
42f7582e-79b3-4a78-88ba-0245ebd00b6b,2025-06-18 23:00:00+00:00,2025-06-18 06:15:00+00:00,YES,0.2191847121715545,0.14,0.3591847121715545,457.9274592616284,4579.274592616284,0.1,0,-486.77745926162845,602.7610201213907,4780.823431937202,0.1260789127025238,0.0,-639.6410201213907,136.0,2.0,1.2547021570401138
