draw,terminal_wealth_ideal,terminal_wealth_constrained
570,24977.595241161405,10444.48478069822
571,8929.629396785638,11151.237125950553
572,72419.94105676368,41167.993765369945
573,364032.27897805057,185383.76404609767
574,29344.731897215406,24885.971934865633
575,12361.423894923568,9764.45790537416
576,1008193.625956847,193835.712140204
577,81812.45807410618,28682.489020971785
578,25577.398081248008,20841.96402004473
579,48287.45819063134,31657.188603728428
580,206525.35566852667,104280.12970031427
581,135749.5259795641,309670.5430488993
582,16783.264061757436,20408.10630965203
583,14775.077744026712,14457.227182636389
584,48457.74222673438,101976.46338394853
585,153615.89341935146,114017.74135734118
586,234442.58695278558,68911.51473417133
587,145448.50938921483,365439.36233521433
588,119537.48440681981,15535.337839702872
589,60652.4884296884,48405.19494059233
590,588.197716361593,4486.75201351609
591,49352.263979829266,16201.279016777322
592,259800.95873650874,49728.65665743206
593,760.8179790004285,1251.2960088295583
594,50004.86907288273,14512.170745797672
595,7195.504235234211,7415.882885920568
596,71336.67505955606,27137.297124465924
597,1494210.7345933577,63408.474975447425
598,12344.907101116281,15912.281160196879
599,44672.05021993621,103665.8615210952
600,438941.99527498015,240520.76365910555
601,9203.193201599423,14141.858914924218
602,8091.334781501412,7269.740090287319
603,427223.50464886246,141560.31712858935
604,23367.98241774667,23030.67645627176
605,30266.38055264941,29720.31255949521
606,43539.99690114356,29668.862812456257
607,130653.92188912595,75139.08003694339
608,21814.34916480183,31028.18569833605
609,117683.576842706,49922.949771370106
610,123637.52257676978,177887.1533115269
611,6509830.622586179,584570.0833510129
612,3278015.403178998,918338.2337710717
613,5773.361235686544,7173.092430578949
614,101925.79011477355,29514.10176484424
615,36376.7914274791,26405.731783669842
616,13374.865344989741,32794.68282220648
617,57528.314668919724,19458.55783895202
618,113226.60406803044,511385.27836828475
619,1619421.0483449332,918214.1556777892
620,40977.2740122133,24943.01123795686
621,23866.280783060363,48259.82577470634
622,331907.0486129148,77450.60325045002
623,32797.833410334664,18726.699073055726
624,29313.514461604464,26253.29863149272
625,541068.6872914297,146517.48990919368
626,22650.085320946448,33859.700886916944
627,43911.54401645722,23627.34399834329
628,17973.089172208158,27136.255736301977
629,5432.049064754506,10957.722954567505
630,1879843.0763186794,279647.74197561503
631,14030.503629692997,14454.25959342841
632,3482.667596782308,5729.080248492042
633,759638.5450558196,573576.8709422493
634,4522.868008581123,4799.520712139902
635,8165.3449734725245,22121.35792068529
636,15709.541510681614,9900.1931129262
637,11623.480685404504,9763.00166608914
638,11971.76920127091,9581.640777555991
639,56036.90469453462,58275.370639935936
640,14434.42872145399,7310.920338130256
641,114472.12912565544,52074.427421576045
642,63536.83972581292,18789.991007486307
643,4633.429232563514,3530.0013533692345
644,211687.87617030906,334943.2479779935
645,121165.5834541215,87667.80862334142
646,38602.88069344954,156504.4802712357
647,20702.906193373463,11170.816926230613
648,94907.67639463849,113934.2006062815
649,3002.988972548842,8064.583028753693
650,6843.550295272831,4578.42397997767
651,9794.726167186678,12180.929646986373
652,270722.01809350325,135769.17987253657
653,21963.769432249395,14026.924924121988
654,8500.120751089298,16080.694946010397
655,58629.55569710154,35944.94534965049
656,998386.6171672951,507300.01654457056
657,314313.072599627,133965.18945822926
658,217370.75113484086,46897.77401402064
659,4578.02164222983,12519.284647129696
660,2652.428983773547,4168.399936074937
661,271686.4316285912,91924.49224159236
662,239969.80116374543,81425.6426438484
663,669278.4895369944,471470.54227751686
664,4321.7856396009365,30915.875006271577
665,4185.319711870509,4715.509041453524
666,26299.747750665487,31659.49653449703
667,69811.12916125478,66133.92203984079
668,151102.74524665595,173635.9839346492
669,166519.5871956755,106404.70045207826
670,167306.32069489092,245159.59497787306
671,51025.89329797927,14642.981577935972
672,381665.0204890356,191589.33637475126
673,3000.4796549171133,3356.7960112943715
674,19940.228056993048,4518.809960175257
675,86157.25690504191,172225.56851241013
676,31153.89624487061,155530.1350953328
677,2011663.4489328226,891925.7902703866
678,101947.47400758923,44631.185670163824
679,191215.59553186232,116427.00969857498
680,744598.5794209777,491564.491924838
681,14616.806173288705,20614.894639380014
682,2318.890329542582,3488.95284327801
683,7996.165474553988,10148.576294042488
684,32541.497332547846,4869.7332945783955
685,67050311.77267354,32144690.646663733
686,346561.8001026491,37253.632865752894
687,7801.95049746956,18326.996796915682
688,385.39221494828274,2870.2723829994175
689,4285.089317083634,11947.132136483728
690,13078.258079552095,21198.962677101455
691,949.2761261157302,1207.008010769844
692,404795.3730394917,195895.3938958191
693,1587841.8559452693,698052.579975946
694,66808.46536948213,34694.38665594302
695,23336.475073797526,95414.65442321311
696,400246.52620146103,243910.62029117323
697,2796.583134007639,2614.2356925152417
698,4719.465659129831,7537.21316645542
699,21927.64843498436,13449.096217880226
700,467453.37797019636,572471.7737318884
701,10368637.544107607,1970628.8328359476
702,21504.99298840555,24741.190146430898
703,64522.21040443601,32763.062979186838
704,39641.63761329483,24618.591992582566
705,16324.625893372198,4915.196903509322
706,176097.0538417024,44288.81073507595
707,291666.3443106387,71222.87871836826
