game_id,side,entry_px,wager,our_filled,n_needed,total_volume,volume_at_or_below,vol_at_price,fill_pct,share_of_total,share_of_qualifying,won
c9d9dbf0-f3e6-4f3f-b2a5-e83fe165023d,NO,0.38,361.55303913069633,1033.008683230561,1033.008683230561,4491.0,4472.0,626.0,1.0,0.2300175202027524,0.23099478605334547,1
9998a61a-229c-44c2-b892-ee5b1ea16c23,YES,0.18,127.04766860116322,909.4119185797372,909.4119185797372,19125.0,19121.0,394.0,1.0,0.047550949991097366,0.04756089736832473,0
58213aa0-65d0-474d-8f26-5b28ea18b59d,YES,0.4,340.8845036053126,859.3362590132816,859.3362590132816,5123.0,2419.0,2134.0,1.0,0.1677408274474491,0.3552444229075162,0
272d53ae-a46b-43bc-ac0f-8a846e03a9d1,NO,0.17000000000000004,198.24768264099217,1531.1360203153245,1531.1360203153245,5485.0,5288.0,0.0,1.0,0.2791496846518367,0.28954917176916123,0
f8baaf5b-f1fa-4923-9eec-e85ed7a82142,YES,0.14,119.04300617669423,1002.1083848057852,1002.1083848057852,4638.0,4393.0,1269.0,1.0,0.2160647660210835,0.22811481557154228,0
45eb60bf-a1b9-4f49-90cb-62097ff47bbd,NO,0.31000000000000005,307.57026582080766,1074.7595373131298,1074.7595373131298,8923.0,8923.0,0.0,1.0,0.12044822787326345,0.12044822787326345,0
772cef5b-3110-4eaf-a68b-6eb3cd04f42a,YES,0.23,205.6426267442742,1133.69803549618,1133.69803549618,11115.0,11115.0,9.0,1.0,0.10199712420118578,0.10199712420118578,1
8b0ee0bd-54cf-4be2-a8ba-b16813be20b6,YES,0.16,279.64558936792866,1936.770595786191,1936.770595786191,27373.0,11518.0,5784.0,1.0,0.07075478010397805,0.16815164054403464,1
639e72ff-50dd-401b-a2a8-dd49fdd02b89,YES,0.33,539.7373979246246,1686.6793685144519,1686.6793685144519,7807.0,4834.0,567.0,1.0,0.21604705629748328,0.34892001831080927,0
d181b175-a503-4a37-a3ce-9673570c903d,NO,0.30000000000000004,294.30632296302986,1131.3937887519623,1131.3937887519623,1671.0,1671.0,0.0,1.0,0.6770758759736459,0.6770758759736459,0
5e1d090c-1c51-494b-8c1f-1f1ba520ee2a,NO,0.31999999999999995,722.3354427075753,2579.7694382413406,2579.7694382413406,11635.0,10885.0,0.0,1.0,0.22172491948786768,0.23700224513011856,1
4a60d4ef-8d10-4f25-bab6-346332242fd5,NO,0.35,578.9425967563812,1754.3715053223673,1754.3715053223673,5514.0,5514.0,156.0,1.0,0.3181667583101863,0.3181667583101863,0
84da0d09-cdf5-46a5-89eb-d489373ed8ed,NO,0.18000000000000005,12.39,70.0,70.0,5744.0,70.0,0.0,1.0,0.012186629526462395,1.0,1
c95f06b7-8138-460b-bc1d-e9c9478156eb,NO,0.15000000000000002,200.14324340392338,1667.8603616993616,1667.8603616993616,13025.0,13025.0,0.0,1.0,0.12805069955465348,0.12805069955465348,0
ee13e918-b149-4c1e-8ae9-03cf0618c5d9,YES,0.26,661.5589085752823,3309.0445428764124,3309.0445428764124,65319.0,56624.0,3148.0,1.0,0.05065975509233779,0.058438904755517315,1
7162ed3d-7135-4801-b3a8-ba85cbcaa7ea,YES,0.45,1259.9143425097454,3522.734284749293,3522.734284749293,18385.0,18385.0,32.0,1.0,0.1916091533722759,0.1916091533722759,0
58dd842c-81d4-4f8b-9019-9fb43e6b3e3c,YES,0.33,143.55,435.0,435.0,4702.0,435.0,435.0,1.0,0.09251382390472139,1.0,0
acf4a696-dabb-4821-9d7a-7417121d43a8,NO,0.07999999999999996,331.33577798662293,4733.7968283803275,4733.7968283803275,14197.0,10047.0,0.0,1.0,0.3334364181432928,0.47116520636810266,0
f992552a-94d9-40c8-aa4b-fa5c7bf321fd,NO,0.43000000000000005,1301.9498583659524,3210.17038625842,3210.17038625842,21071.0,21071.0,0.0,1.0,0.1523501678258469,0.1523501678258469,0
326d833a-4a17-4fec-882e-c3699065a0ed,NO,0.15000000000000002,246.98,2058.0,2058.0,2058.0,2058.0,0.0,1.0,1.0,1.0,0
4f5eef0b-7151-49c4-bc34-46d08d1e5ca1,YES,0.23,492.685250368129,2142.327175513604,2142.327175513604,22512.0,3672.0,3667.0,1.0,0.09516378711414374,0.5834224334187375,0
42f7582e-79b3-4a78-88ba-0245ebd00b6b,YES,0.14,386.60766453376647,3866.076645337665,3866.076645337665,54877.0,54877.0,138.0,1.0,0.07044985413447646,0.07044985413447646,0
57909126-867a-49a0-bc68-8c65ff35b9dd,YES,0.16,315.12000000000006,1978.0,1978.0,21902.0,1978.0,1842.0,1.0,0.09031138708793718,1.0,1
5cc2b6cf-49a3-4f54-a14e-88d92bf3ac7a,YES,0.38,794.2838079519224,2266.343910977563,2266.343910977563,7513.0,7513.0,50.0,1.0,0.30165631718056213,0.30165631718056213,0
b22ddc9a-0884-436b-a5cb-261725723b33,NO,0.07999999999999996,6.300000000000001,126.0,126.0,1497.0,126.0,0.0,1.0,0.0841683366733467,1.0,0
36996288-3356-4ce9-b751-b31f6890cd69,YES,0.46,190.90000000000003,415.0,415.0,19565.0,415.0,415.0,1.0,0.021211346792742142,1.0,1
5c4e4191-667a-4956-811e-2cccb0324876,NO,0.41000000000000003,650.047918931815,1805.6886636994864,1805.6886636994864,23325.0,8893.0,0.0,1.0,0.07741430498175719,0.20304606586073162,0
4bfeb202-768f-487c-a416-9c9a314242a6,YES,0.31,4.65,15.0,15.0,6364.0,15.0,15.0,1.0,0.002357008170961659,1.0,1
e6fdfe56-f4ef-4bab-8f24-19a99adb7f6f,NO,0.06000000000000005,143.6620094418358,2873.2401888367162,2873.2401888367162,10762.0,10752.0,0.0,1.0,0.2669801327668385,0.26722844018198627,0
1c528f37-bdd0-449a-99b5-7a8d174e4243,YES,0.2,214.92803902094835,1077.3901951047417,1077.3901951047417,42542.0,5352.0,5297.0,1.0,0.025325330146790035,0.20130609026620733,0
fd8a85e4-5aac-47f6-b278-e1f1fa69b82d,NO,0.24,167.78955925029808,838.9477962514904,838.9477962514904,31723.0,29732.0,6474.0,1.0,0.026446042185527548,0.028216998394036408,1
4e456309-00d3-4582-8f89-1c9049054791,NO,0.49,525.6304450899761,1141.1073299786726,1141.1073299786726,26092.0,11820.0,2061.0,1.0,0.04373399241064972,0.09654038324692661,1
f2a059a9-b803-4538-b746-3868679fa790,NO,0.06000000000000005,117.46643203844256,2349.328640768851,2349.328640768851,12778.0,12778.0,0.0,1.0,0.18385730480269613,0.18385730480269613,0
02291b17-b5ee-4973-b184-51149f2c1817,NO,0.47,646.7434821197064,1406.7249611297964,1406.7249611297964,22369.0,12830.0,8488.0,1.0,0.0628872529451382,0.10964341084409948,0
b27d4faa-d86d-439c-9ae5-0ed478abadb8,NO,0.53,689.2999849524753,1351.5685979460297,1351.5685979460297,24053.0,9530.0,3088.0,1.0,0.056191269194945735,0.1418225181475372,1
f73fe2ca-493d-4a4e-bb34-3b5834d2ce24,YES,0.27,265.35972294790463,982.813788695943,982.813788695943,54131.0,4800.0,4800.0,1.0,0.018156209726329517,0.20475287264498812,1
8a325ea5-03e5-4940-bb7a-2eb4c8b2b077,NO,0.25,704.2031450654556,2936.2631044393984,2936.2631044393984,10500.0,10500.0,3753.0,1.0,0.2796441051847046,0.2796441051847046,1
475cc53b-e563-4217-a5dc-930581369bab,NO,0.29000000000000004,415.75969198016577,1450.067903379882,1450.067903379882,13681.0,2912.0,0.0,1.0,0.10599136783713778,0.4979628789079265,1
01384c8c-e038-4abe-b80a-901c44d112ce,YES,0.39,938.0028814075705,2680.008232593059,2680.008232593059,87494.0,87494.0,7178.0,1.0,0.03063076591072598,0.03063076591072598,1
21815dfe-7533-4983-9fc4-01b7e5798634,YES,0.47,855.3999999999999,1820.0,1820.0,19499.0,1820.0,1820.0,1.0,0.0933381199035848,1.0,0
7d922f87-8ed8-4992-9dd4-4f167d608dd6,NO,0.19999999999999996,56.81,299.0,299.0,9796.0,299.0,0.0,1.0,0.030522662311147405,1.0,0
e71aa609-4f24-4b4c-8d2f-952f1cc9a393,YES,0.1,415.4057279661748,4663.841421846387,4663.841421846387,44242.0,43524.0,19837.0,1.0,0.10541660462561338,0.1071556249849827,0
a4d71aea-7129-4510-a0c0-686300cd53cf,NO,0.31000000000000005,515.2108482584568,1982.810954840219,1982.810954840219,14682.0,14682.0,0.0,1.0,0.13505046688735997,0.13505046688735997,0
66b295b9-ed48-41fe-8fd7-4cca0813f9f5,NO,0.30000000000000004,427.69633811602495,1551.5583504143747,1551.5583504143747,13363.0,13363.0,0.0,1.0,0.11610853479116776,0.11610853479116776,0
cba5ede2-0a93-430c-aa0b-4c48363996d9,YES,0.07,328.6590455206612,4697.272078866587,4697.272078866587,29505.0,7294.0,7279.0,1.0,0.1592025785075949,0.6439912364774592,1
473b6ccd-bea1-4377-b656-99e755056013,NO,0.22999999999999998,168.95999999999998,768.0,768.0,18918.0,768.0,0.0,1.0,0.04059625753250872,1.0,1
e3e04e5c-30b5-4cd3-bef5-9e4a16bf0e89,NO,0.7,1993.48,2898.0,2898.0,34354.0,2898.0,164.0,1.0,0.08435698899691448,1.0,1
3128ac62-3240-4020-a3d9-456d92e4e181,NO,0.38,1678.3632625379387,4458.140164573523,4458.140164573523,66739.0,19609.0,18036.0,1.0,0.0667996248756128,0.22735173464090586,0
b25f3091-aef6-4e55-9fb0-d5745a720e42,NO,0.37,440.3,1190.0,1190.0,34887.0,1190.0,1190.0,1.0,0.03411012698139708,1.0,0
9bb7fd31-2faf-4602-bf65-4532dd75baba,NO,0.31000000000000005,703.2049550376663,2604.4627964358015,2604.4627964358015,11520.0,11520.0,0.0,1.0,0.22608183996838555,0.22608183996838555,1
1dc8a33e-b81b-4a0d-91bf-0109943d729e,NO,0.18000000000000005,1620.377001737788,10516.356260861176,10516.356260861176,49139.0,49138.0,0.0,1.0,0.21401241907367213,0.21401677440801772,0
