model,entry_window,edge_min,norm_min,sizing,n_trades,hit_rate,mean_edge,total_fees,total_pnl,median_lead_h,roi,final_bankroll,total_return,max_drawdown,mean_kelly_f,mean_wager
full_model,half_life,0.1,0.2,fixed,112,0.4554,0.1528,5.45,22.12,13.6,0.1975,,,,,
full_model,half_life,0.1,0.2,half_kelly,112,0.4554,0.1528,207.08,279.25,13.6,,379.25,2.7925,989.91,0.2692,50.93
full_model,half_life,0.1,0.2,full_kelly,112,0.4554,0.1528,159.24,-69.64,13.6,,30.36,-0.6964,839.38,0.2692,38.71
full_model,half_life,0.1,0.25,fixed,101,0.4554,0.1576,5.12,25.55,13.0,0.253,,,,,
full_model,half_life,0.1,0.25,half_kelly,101,0.4554,0.1576,344.28,720.7,13.0,,820.7,7.207,1778.96,0.2628,90.26
full_model,half_life,0.1,0.25,full_kelly,101,0.4554,0.1576,612.22,99.59,13.0,,199.59,0.9959,3717.15,0.2628,162.28
full_model,half_life,0.15,0.0,fixed,62,0.5323,0.1893,2.91,21.11,13.5,0.3405,,,,,
full_model,half_life,0.15,0.0,half_kelly,62,0.5323,0.1893,240.87,547.86,13.5,,647.86,5.4786,1733.6,0.3409,109.86
full_model,half_life,0.15,0.0,full_kelly,62,0.5323,0.1893,564.82,100.68,13.5,,200.68,1.0068,4322.09,0.3409,256.31
full_model,half_life,0.15,0.1,fixed,62,0.5323,0.1893,2.91,21.11,13.5,0.3405,,,,,
full_model,half_life,0.15,0.1,half_kelly,62,0.5323,0.1893,240.87,547.86,13.5,,647.86,5.4786,1733.6,0.3409,109.86
full_model,half_life,0.15,0.1,full_kelly,62,0.5323,0.1893,564.82,100.68,13.5,,200.68,1.0068,4322.09,0.3409,256.31
full_model,half_life,0.15,0.2,fixed,62,0.5323,0.1893,2.91,21.11,13.5,0.3405,,,,,
full_model,half_life,0.15,0.2,half_kelly,62,0.5323,0.1893,240.87,547.86,13.5,,647.86,5.4786,1733.6,0.3409,109.86
full_model,half_life,0.15,0.2,full_kelly,62,0.5323,0.1893,564.82,100.68,13.5,,200.68,1.0068,4322.09,0.3409,256.31
