feature,gain,weight,cover,gain_norm,weight_norm,cover_norm
home_p4_m_ewma_pre,6.371912479400635,45.0,70.18973541259766,0.00990881730614843,0.019280205655526992,0.007475992140585417
home_p4_minutes_last_game_pre,6.345955848693848,40.0,76.47450256347656,0.009868452735481743,0.01713796058269066,0.008145390159386715
away_p6_q_pre,6.343103885650635,36.0,58.04513168334961,0.00986401771211153,0.015424164524421594,0.006182455963298628
home_p5_minutes_last_game_pre,6.310500144958496,45.0,89.66799926757812,0.009813316370707384,0.019280205655526992,0.009550645174053716
home_p6_q_pre,6.310458660125732,38.0,48.768516540527344,0.009813251858580112,0.016281062553556127,0.005194392659009157
away_p1_minutes_last_game_pre,6.303001880645752,40.0,67.19844818115234,0.00980165598908281,0.01713796058269066,0.007157386582364365
away_p6_days_since_last_played_pre,6.2955451011657715,6.0,70.95984649658203,0.009790060119585508,0.002570694087403599,0.0075580175874317606
away_ftr_ewma_pre,6.289745330810547,35.0,68.15068817138672,0.009781041027585527,0.014995715509854327,0.007258810795478946
home_off_3pa_rate_pre,6.282133102416992,26.0,65.04752349853516,0.009769203422990634,0.011139674378748929,0.006928289038005319
away_timezone_shift_hours_pre,6.255496978759766,8.0,74.98516845703125,0.009727782188170369,0.003427592116538132,0.007986759413608286
away_p3_minutes_last_game_pre,6.246668338775635,27.0,74.55110931396484,0.009714052969360894,0.011568123393316195,0.00794052725839302
home_p7_q_pre,6.2436065673828125,46.0,97.37293243408203,0.009709291677760806,0.01970865467009426,0.010371306763072624
away_p5_minutes_last_game_pre,6.230868339538574,40.0,128.60150146484375,0.00968948274709506,0.01713796058269066,0.013697498766266891
away_orb_pct_ewma_pre,6.210833549499512,21.0,30.30948829650879,0.009658327097216644,0.008997429305912597,0.003228299621844655
home_p7_minutes_last_game_pre,6.120577812194824,22.0,45.71128463745117,0.009517972436873287,0.009425878320479864,0.0048687632554362485
home_ftr_ewma_pre,6.099886894226074,31.0,44.71402359008789,0.009485796457257802,0.013281919451585262,0.004762543796018515
home_p2_minutes_last_game_pre,6.049060344696045,31.0,45.60442352294922,0.009406757237051448,0.013281919451585262,0.004857381351124249
home_p3_m_ewma_pre,6.028414726257324,36.0,100.61780548095703,0.009374651701712868,0.015424164524421594,0.010716922047886492
away_p3_m_ewma_pre,6.013652324676514,19.0,72.37163543701172,0.009351695024147516,0.008140531276778063,0.007708388905414011
away_p7_q_pre,6.007358074188232,22.0,46.23881530761719,0.009341906977251213,0.009425878320479864,0.004924951174095521
away_p1_m_ewma_pre,6.000880241394043,21.0,70.58538055419922,0.009331833445653767,0.008997429305912597,0.007518132774848917
home_p7_days_since_last_dnp_pre,5.965009689331055,2.0,238.64935302734375,0.009276051959606697,0.000856898029134533,0.025418826230081487
away_p3_q_pre,5.959209442138672,36.0,44.952980041503906,0.009267032126088013,0.015424164524421594,0.004787995331662966
home_p7_days_since_last_played_pre,5.942573547363281,12.0,25.125944137573242,0.0092411620215336,0.005141388174807198,0.002676194172738996
home_tov_pct_ewma_pre,5.926961898803711,24.0,38.8128776550293,0.009216884699155952,0.010282776349614395,0.0041340057288551
away_p5_m_ewma_pre,5.882740020751953,38.0,45.621917724609375,0.009148116254522377,0.016281062553556127,0.004859244679335252
home_p3_minutes_last_game_pre,5.881734371185303,33.0,57.27478790283203,0.009146552391575082,0.014138817480719794,0.00610040573166797
home_p4_q_pre,5.867333889007568,25.0,38.552494049072266,0.009124158526706266,0.010711225364181662,0.004106271961513919
away_def_3pa_allowed_pre,5.854377269744873,32.0,65.90933227539062,0.009104009980473966,0.013710368466152529,0.007020081315103755
away_games_last_4_days_pre,5.849279403686523,3.0,33.85011291503906,0.009096082404006665,0.0012853470437017994,0.0036054157580617005
home_net_rtg_ewma_pre,5.847538948059082,22.0,68.39862060546875,0.009093375860736096,0.009425878320479864,0.007285218373705274
home_efg_ewma_pre,5.835990905761719,15.0,103.99142456054688,0.009075417760756196,0.006426735218508998,0.011076250225661843
home_p6_m_ewma_pre,5.819530010223389,40.0,60.89664840698242,0.00904981979356625,0.01713796058269066,0.0064861743986127565
home_p3_q_pre,5.814425945281982,26.0,47.07298278808594,0.009041882577355793,0.011139674378748929,0.005013799343863618
away_p4_minutes_last_game_pre,5.780165195465088,46.0,54.099853515625,0.008988604458454324,0.01970865467009426,0.005762239696618719
home_p6_days_since_first_report_pre,5.750655174255371,1.0,280.5024108886719,0.00894271409040345,0.0004284490145672665,0.029876645166019483
home_off_2pa_rate_pre,5.735506534576416,16.0,47.54580307006836,0.008919156782687641,0.006855184233076264,0.005064159994053155
away_p2_minutes_last_game_pre,5.730932235717773,55.0,35.06618881225586,0.008912043393757623,0.02356469580119966,0.0037349414472028
away_tov_pct_ewma_pre,5.708698749542236,28.0,38.552513122558594,0.00887746860113384,0.011996572407883462,0.0041062739930536165
away_p2_days_since_last_played_pre,5.707569122314453,7.0,54.75944900512695,0.008875711943323436,0.0029991431019708655,0.005832493996146926
home_def_forced_tov_pre,5.706928253173828,23.0,62.614925384521484,0.008874715342184904,0.00985432733504713,0.006669190121694187
away_def_2pa_allowed_pre,5.705204010009766,19.0,87.13380432128906,0.008872034010550279,0.008140531276778063,0.009280725058387233
home_p5_injury_present_flag_pre,5.701561450958252,1.0,217.717041015625,0.008866369549168395,0.0004284490145672665,0.023189300799276055
home_timezone_shift_hours_pre,5.669836044311523,1.0,41.94228744506836,0.008817034085217505,0.0004284490145672665,0.004467322884953171
away_p6_minutes_last_game_pre,5.613122463226318,28.0,73.88316345214844,0.00872884007508829,0.011996572407883462,0.00786938355078503
away_efg_ewma_pre,5.611270904541016,17.0,29.91975212097168,0.008725960757959627,0.00728363324764353,0.003186788358579595
home_off_tov_pct_pre,5.591805458068848,42.0,36.57920837402344,0.008695690481414105,0.017994858611825194,0.003896094958978202
away_off_3pa_rate_pre,5.552473545074463,49.0,81.537109375,0.008634526311092773,0.02099400171379606,0.008684614427883252
away_def_forced_tov_pre,5.520538330078125,39.0,45.6226921081543,0.008584864578912004,0.016709511568123392,0.00485932715984699
away_off_tov_pct_pre,5.5103631019592285,20.0,58.77220916748047,0.008569041311281686,0.00856898029134533,0.00625989785027835
home_orb_pct_ewma_pre,5.508641719818115,21.0,45.468482971191406,0.008566364428759287,0.008997429305912597,0.0048429021613886816
away_p4_m_ewma_pre,5.466957092285156,26.0,31.818378448486328,0.00850154160515111,0.011139674378748929,0.0033890133052754405
away_net_rtg_ewma_pre,5.456012725830078,38.0,77.8451919555664,0.008484522267850809,0.016281062553556127,0.00829138391562772
home_p5_q_pre,5.355994701385498,34.0,38.687400817871094,0.008328986495075026,0.01456726649528706,0.004120641041797855
away_p7_minutes_last_game_pre,5.239013671875,26.0,24.98012351989746,0.008147071935913706,0.011139674378748929,0.0026606626454398663
home_def_2pa_allowed_pre,5.0133137702941895,14.0,74.73835754394531,0.007796091112179872,0.005998286203941731,0.007960471289916199
home_p2_q_pre,4.635514259338379,22.0,34.52717208862305,0.007208583618234274,0.009425878320479864,0.0036775301353373937
home_days_rest_pre,4.500365257263184,4.0,106.77393341064453,0.006998416454921737,0.001713796058269066,0.011372618550348615
away_p1_played_last_game_pre,4.45445442199707,1.0,70.37222290039062,0.006927021551037655,0.0004284490145672665,0.007495429099799978
away_p1_days_since_last_played_pre,4.0357584953308105,1.0,6.530348300933838,0.00627591696390203,0.0004284490145672665,0.000695555158971355
away_p7_days_since_last_played_pre,3.912348508834839,6.0,17.628843307495117,0.00608400487881045,0.002570694087403599,0.001877669052885347
away_games_last_7_days_pre,3.88444447517395,6.0,16.29466438293457,0.006040611945755543,0.002570694087403599,0.0017355640699342476
