feature,gain,weight,cover,gain_norm,weight_norm,cover_norm
home_p1_minutes_last_game_pre,4.109282970428467,129.0,66.11884307861328,0.008151410112350122,0.014227418109628322,0.00570799470170336
away_p5_q_pre,4.109053611755371,116.0,29.478132247924805,0.008150955143290875,0.012793647292378956,0.0025448270848781873
away_p6_days_since_last_dnp_pre,4.1027984619140625,17.0,308.8148498535156,0.008138547068199033,0.0018749310687107093,0.026659775711371316
away_timezone_shift_hours_pre,4.097240924835205,30.0,91.52839660644531,0.008127522817917326,0.003308701885960075,0.007901584156029835
home_p5_q_pre,4.08080530166626,107.0,38.45989990234375,0.008094920170237371,0.011801036726590934,0.0033202169706691106
home_off_3pa_rate_pre,4.07820463180542,117.0,34.34329605102539,0.008089761331881608,0.012903937355244293,0.0029648333632396984
home_p3_q_pre,4.077717304229736,118.0,53.74114227294922,0.008088794640865914,0.013014227418109628,0.004639436219305279
home_p4_days_since_last_played_pre,4.069393157958984,34.0,121.89606475830078,0.008072282385424664,0.0037498621374214185,0.010523204269796537
away_orb_pct_ewma_pre,4.052295207977295,102.0,44.33120346069336,0.008038365908174458,0.011249586412264255,0.0038270826090062078
home_p1_m_ewma_pre,4.048820972442627,109.0,61.638423919677734,0.008031474214690758,0.012021616852321606,0.005321203166494442
home_efg_ewma_pre,4.022341251373291,70.0,48.55827331542969,0.007978947516566028,0.007720304400573508,0.004192002671292799
away_p5_minutes_last_game_pre,4.019834518432617,128.0,71.27587127685547,0.007973975016889415,0.014117128046762987,0.006153197434562771
home_games_last_4_days_pre,4.0162529945373535,12.0,133.78382873535156,0.007966870500041202,0.00132348075438403,0.011549466839385483
away_off_tov_pct_pre,4.005250453948975,144.0,67.15475463867188,0.007945045227540122,0.01588176905260836,0.005797424241316105
away_p7_q_pre,4.001658916473389,89.0,39.13232421875,0.00793792084717789,0.009815815595014888,0.0033782669040410525
away_p6_q_pre,3.997793674468994,105.0,50.919334411621094,0.007930253530765747,0.011580456600860262,0.00439583146804647
home_p3_minutes_last_game_pre,3.9793925285339355,131.0,64.78438568115234,0.007893751959047937,0.014447998235358995,0.0055927919032318345
home_def_3pa_allowed_pre,3.9729483127593994,135.0,39.475563049316406,0.007880968841893744,0.014889158486820337,0.003407898478567583
away_days_rest_pre,3.930614471435547,24.0,69.77803802490234,0.007796992998724711,0.00264696150876806,0.00602389050981791
home_p5_days_since_first_report_pre,3.9299635887145996,5.0,237.87393188476562,0.007795701870313341,0.0005514503143266791,0.020535494567822752
away_efg_ewma_pre,3.927744150161743,82.0,73.07989501953125,0.007791299264312808,0.009043785154957538,0.006308937575882201
home_off_2pa_rate_pre,3.9006688594818115,38.0,35.229679107666016,0.007737591160044632,0.004191022388882762,0.003041354208968483
home_timezone_shift_hours_pre,3.872565746307373,5.0,92.45164489746094,0.0076818442079444335,0.0005514503143266791,0.007981287552340144
away_p3_days_since_last_played_pre,3.860755443572998,30.0,147.98574829101562,0.0076584166119789835,0.003308701885960075,0.012775508884334222
away_p2_days_since_last_played_pre,3.840885877609253,19.0,64.7660140991211,0.007619002197812224,0.002095511194441381,0.005591205897064552
away_p3_minutes_last_game_pre,3.8102641105651855,141.0,64.56204986572266,0.007558259098994911,0.015550898864012352,0.005573597803677451
home_p4_minutes_last_game_pre,3.803035020828247,135.0,44.933746337890625,0.007543919060694111,0.014889158486820337,0.003879099725314517
home_p5_minutes_last_game_pre,3.799426317214966,119.0,68.8115463256836,0.007536760628593557,0.013124517480974963,0.005940453939522485
away_p7_minutes_last_game_pre,3.7750823497772217,114.0,40.59480285644531,0.0074884705342450385,0.012573067166648286,0.0035045216890105036
home_p2_minutes_last_game_pre,3.754383087158203,123.0,45.06474304199219,0.007447410286059389,0.013565677732436308,0.003890408581582061
home_p5_days_since_last_dnp_pre,3.597689628601074,3.0,208.1986541748047,0.007136584126894079,0.0003308701885960075,0.017973648049446175
home_p7_days_since_last_dnp_pre,3.5926342010498047,7.0,310.4080505371094,0.007126555889958287,0.0007720304400573508,0.026797315641552653
home_p7_days_since_last_played_pre,3.543562173843384,39.0,86.07002258300781,0.007029213793616299,0.004301312451748097,0.007430366443272028
away_games_last_7_days_pre,3.4250805377960205,13.0,43.00563049316406,0.006794186803955482,0.0014337708172493658,0.0037126467973211444
home_p1_days_since_last_played_pre,3.372502565383911,14.0,50.243736267089844,0.00668989011300206,0.0015440608801147017,0.004337507540253601
home_p7_played_last_game_pre,3.2665154933929443,2.0,90.66752624511719,0.006479648059431468,0.00022058012573067168,0.007827265803915417
away_p5_days_since_last_dnp_pre,3.197791576385498,5.0,245.65432739257812,0.006343323343882273,0.0005514503143266791,0.021207170814228755
away_p1_days_since_last_played_pre,3.135619640350342,17.0,39.90178298950195,0.006219995514733405,0.0018749310687107093,0.0034446937557845005
away_is_b2b_pre,3.123317241668701,1.0,253.71038818359375,0.006195591768936061,0.00011029006286533584,0.021902645056829217
home_p3_days_since_last_dnp_pre,2.8868322372436523,2.0,307.4289855957031,0.005726486508879339,0.00022058012573067168,0.026540134993649312
home_p7_injury_present_flag_pre,2.8401260375976562,1.0,308.8050842285156,0.005633837404195239,0.00011029006286533584,0.02665893265161462
home_p2_played_last_game_pre,2.7384676933288574,2.0,274.76226806640625,0.005432182063971479,0.00022058012573067168,0.023720039512583953
home_p6_days_since_last_dnp_pre,2.5495500564575195,4.0,302.6822204589844,0.00505743417080467,0.00044116025146134335,0.026130349991537186
home_p1_days_since_first_report_pre,2.0508551597595215,1.0,295.9808349609375,0.004068194283171037,0.00011029006286533584,0.02555182394456078
