feature,coefficient,abs_coef,block
home_def_2pa_allowed_pre,0.045800788115215166,0.045800788115215166,style
home_p3_q_pre,0.04508997663932834,0.04508997663932834,player
away_p6_q_pre,-0.04480413738437973,0.04480413738437973,player
away_p4_injury_present_flag_pre,-0.042989130996123344,0.042989130996123344,player
away_p7_days_since_last_dnp_pre,-0.04258197770060749,0.04258197770060749,player
home_p1_days_since_last_played_pre,0.04103324101796802,0.04103324101796802,player
home_p2_days_since_last_dnp_pre,-0.04089074958349112,0.04089074958349112,player
home_p1_injury_present_flag_pre,0.03996855448288941,0.03996855448288941,player
home_p3_days_since_last_dnp_pre,-0.03934814597220584,0.03934814597220584,player
away_p4_days_since_last_played_pre,0.0390058824437254,0.0390058824437254,player
away_p3_consec_dnps_pre,-0.03675107969974666,0.03675107969974666,player
home_p2_m_ewma_pre,0.03547589444724375,0.03547589444724375,player
home_p7_m_ewma_pre,0.032800878441390374,0.032800878441390374,player
home_def_3pa_allowed_pre,-0.031737102593072206,0.031737102593072206,style
away_p1_days_since_last_played_pre,-0.03128162804273452,0.03128162804273452,player
home_days_rest_pre,0.03122514434076699,0.03122514434076699,schedule
away_p6_injury_present_flag_pre,-0.030942250488594496,0.030942250488594496,player
home_p3_injury_present_flag_pre,0.03030706687364386,0.03030706687364386,player
home_efg_ewma_pre,-0.028589732960247517,0.028589732960247517,form
away_games_last_7_days_pre,-0.028365023330205578,0.028365023330205578,schedule
away_p6_m_ewma_pre,-0.02835005717293245,0.02835005717293245,player
home_p5_days_since_last_dnp_pre,-0.02800230881310531,0.02800230881310531,player
away_p4_days_since_first_report_pre,-0.02789920123195102,0.02789920123195102,player
home_p3_m_ewma_pre,0.027671464261226457,0.027671464261226457,player
away_p2_days_since_last_played_pre,0.027093960062691366,0.027093960062691366,player
home_def_forced_tov_pre,0.025919431238123895,0.025919431238123895,style
home_p5_q_pre,-0.025815068147213103,0.025815068147213103,player
home_p2_injury_present_flag_pre,-0.02572773227463704,0.02572773227463704,player
home_p1_m_ewma_pre,-0.02551989987290612,0.02551989987290612,player
home_p1_played_last_game_pre,0.025232364825778186,0.025232364825778186,player
home_p7_days_since_first_report_pre,-0.02445297111511624,0.02445297111511624,player
away_p5_q_pre,-0.023581351078077278,0.023581351078077278,player
away_off_tov_pct_pre,0.02335366076674312,0.02335366076674312,form
away_p7_days_since_last_played_pre,0.022465376264923516,0.022465376264923516,player
home_p6_days_since_last_played_pre,-0.019283908831087115,0.019283908831087115,player
away_p4_m_ewma_pre,-0.018613031421377265,0.018613031421377265,player
home_p4_m_ewma_pre,0.01836960807127423,0.01836960807127423,player
home_off_2pa_rate_pre,0.018060913337785662,0.018060913337785662,style
away_p1_m_ewma_pre,-0.017724087177683905,0.017724087177683905,player
home_p4_days_since_first_report_pre,0.017430545602631253,0.017430545602631253,player
home_p3_days_since_first_report_pre,-0.016663954346099748,0.016663954346099748,player
away_p3_days_since_first_report_pre,-0.016187394607397234,0.016187394607397234,player
away_p7_m_ewma_pre,-0.016003346415692996,0.016003346415692996,player
home_p7_q_pre,-0.015825881217021078,0.015825881217021078,player
away_p1_consec_dnps_pre,-0.01550732668793082,0.01550732668793082,player
away_def_forced_tov_pre,-0.01550565698500541,0.01550565698500541,style
away_net_rtg_ewma_pre,0.014878642308227608,0.014878642308227608,form
home_p4_injury_present_flag_pre,0.013922251263511728,0.013922251263511728,player
away_p1_minutes_last_game_pre,-0.013898422133153138,0.013898422133153138,player
