season_year,season_type,game_id,scheduled,status,side,team_id,opponent_id,player_id,player_name,played,active,starter,on_court,minutes,minutes_raw,not_playing_reason,not_playing_description,bronze_file
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,7709c3e4-3fcb-4483-95b5-ba433eab864a,Georgia Amoore,True,True,True,False,20.433333333333334,20:26,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,a8e64df8-bd27-4c28-94c9-7c1c370960dc,Shakira Austin,True,True,True,True,27.95,27:57,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,ec5e3e73-1818-4cf2-a5d4-f9ea7ca6fb32,Darianna Littlepage-Buggs,,,,False,0.0,00:00,Inactive - Coaches Decision,Coach's Decision,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,15f0b384-7c91-463e-9ae8-fa73d549f23a,Julie Vanloo,True,True,,True,22.016666666666666,22:01,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,,True,,False,0.0,00:00,DND - Injury/Illness,L. Foot,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,357ea521-789b-4d23-a7ad-f4f539c0d824,Satou Sabally,,True,,False,0.0,00:00,NWT - Not With Team,Cyst,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,Betnijah Laney-Hamilton,True,True,True,True,28.483333333333334,28:29,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,6fa763e6-846f-4f9d-a4ce-256d8b328424,Breanna Stewart,True,True,True,False,28.35,28:21,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,89e9800d-9af2-4b27-b6b6-835816bc2d3d,Marine Johannes,True,True,True,False,28.0,28:00,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,8a438358-fbe0-4797-921f-add82eddf789,Jonquel Jones,True,True,True,False,24.966666666666665,24:58,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,9848c81d-efc7-4927-bc18-98fd0e50c761,Rebecca Allen,,True,,False,0.0,00:00,DND - Injury/Illness,L. Leg,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,98768736-66ba-4dc9-b3f7-611a62d51106,Aubrey Griffin,True,True,,True,5.166666666666667,5:10,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,98fff88c-a6ac-48fd-a586-46fa33c7c25e,Pauline Astier,True,True,True,False,19.733333333333334,19:44,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,c18a5bbc-64df-4171-b4fd-c4413dd10651,Rebekah Gardner,True,True,,True,21.766666666666666,21:46,,,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
2026,REG,a01c0aa0-885e-4258-82c5-695c2ada9546,2026-05-08T23:30:00+00:00,closed,home,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,dffaa225-77d7-4b0d-8cc0-a80543a14033,Marine Fauthoux,,,,False,0.0,00:00,Inactive - Injury/Illness,L. Knee Rehabilitation,game_summary__a01c0aa0-885e-4258-82c5-695c2ada9546__20260510T001533Z.json
