asof_date,team_id,team_name,player_id,player_name,injury_id,desc,status,comment,start_date,update_date,bronze_file,event_date,issue_class,tokens,event_dt,source
2026-05-05,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Minnesota Lynx,a4d323e8-eea6-49b4-91f2-7edd99b2fa68,Dorka Juhász,5ff47f2c-f746-46db-9e97-a0e328dbe1c6,Foot,Out,The Lynx said on Tuesday (May 5) that Juhasz will miss start of regular season and has no official timetable for return.,2026-05-05,2026-05-05,daily_injuries__2026-05-05__20260510T001547Z.json,2026-05-05,injury_medical,foot|illness,2026-05-05 00:00:00+00:00,daily_update
2026-05-08,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Minnesota Lynx,a4d323e8-eea6-49b4-91f2-7edd99b2fa68,Dorka Juhász,5ff47f2c-f746-46db-9e97-a0e328dbe1c6,Foot,Out,The Lynx announced that Juhasz has a mid-foot sprain and has no timetable for her return.,2026-05-05,2026-05-08,daily_injuries__2026-05-08__20260510T001552Z.json,2026-05-08,injury_medical,foot,2026-05-08 00:00:00+00:00,daily_update
2026-05-07,4f57ec40-0d35-4b59-bea0-9d040f0d2292,Golden State Valkyries,a6b11ee1-f2b5-4ef2-adc5-ce96c33a2bf2,Iliana Rupert,8791f404-09cb-4ff8-a143-e4da94e6aee5,Pregnancy,Out,The Valkyries said on Thursday (May 7) that Rupert is out indefinitely due to pregnancy.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,unknown,,2026-05-07 00:00:00+00:00,daily_update
2026-05-10,3c409388-ab73-4c7f-953d-3a71062240f6,,b61f397f-0cb5-49db-9e88-f91991757203,Courtney Vandersloot,DNP_b61f397f-0cb5-49db-9e88-f91991757203_7def09d1-d666-4e08-a6d4-213059a7ffe9,Right knee,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Right knee,2026-05-10,2026-05-10,,2026-05-10,illness,illness|knee,,dnp_injury_unmatched
2026-05-10,3c409388-ab73-4c7f-953d-3a71062240f6,,d4c299a9-e271-4552-9ed2-2fc285c30362,DiJonai Carrington,DNP_d4c299a9-e271-4552-9ed2-2fc285c30362_7def09d1-d666-4e08-a6d4-213059a7ffe9,Left foot,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Left foot,2026-05-10,2026-05-10,,2026-05-10,illness,foot|illness,,dnp_injury_unmatched
2026-05-07,d54283cc-c5ec-4dbd-bb61-166f217e3864,Portland Fire,d8df74ae-9911-43cb-9ae4-a6949093942a,Kamiah Smalls,7c0ec953-6f0d-40b3-bac2-8f8d687ca74e,Knee,Out,The Portland Fire temporarily suspended G Kamiah Smalls' contract due to a knee injury.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,knee,2026-05-07 00:00:00+00:00,daily_update
2026-05-10,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,,de11f82d-035c-45c2-873a-eb1fad4abc1b,Brionna Jones,DNP_de11f82d-035c-45c2-873a-eb1fad4abc1b_f88e8fd5-d27c-4709-844b-e24b33649f45,Right Knee,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: Right Knee,2026-05-10,2026-05-10,,2026-05-10,illness,illness|knee,,dnp_injury_unmatched
2026-05-08,08ed8274-e29f-4248-bc2e-83cc8ed18d75,,dffaa225-77d7-4b0d-8cc0-a80543a14033,Marine Fauthoux,DNP_dffaa225-77d7-4b0d-8cc0-a80543a14033_a01c0aa0-885e-4258-82c5-695c2ada9546,L. Knee Rehabilitation,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: L. Knee Rehabilitation,2026-05-08,2026-05-08,,2026-05-08,illness,illness|knee,,dnp_injury_unmatched
2026-05-10,3c409388-ab73-4c7f-953d-3a71062240f6,,f2c36797-b5c5-47a4-b073-43637c9794ef,Natasha Cloud,DNP_f2c36797-b5c5-47a4-b073-43637c9794ef_7def09d1-d666-4e08-a6d4-213059a7ffe9,"N/A, Illness",Out,"SYNTH_FROM_DNP: Inactive - Injury/Illness :: N/A, Illness",2026-05-10,2026-05-10,,2026-05-10,illness,illness,,dnp_injury_unmatched
2026-05-07,4f57ec40-0d35-4b59-bea0-9d040f0d2292,Golden State Valkyries,fa77631a-be09-4fe7-8a82-447d73513e52,Justė Jocytė,f98aa281-043f-44ba-a7d2-6f6e23e10fe5,Not Injury Related ,Out,The Golden State Valkyries temporarily suspended G-F Just? Jocyt?'s contract due to overseas obligations.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
2026-05-07,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York Liberty,fd9c6f75-0468-4b52-a3f7-6f70d1d658c6,Leonie Fiebich,15139a38-7cbc-4ea5-ac10-d248eed1f5dd,Not Injury Related,Out,The New York Liberty temporarily suspended F Leonie Fiebich's contract due to overseas commitment.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
