market_ticker,event_ticker,yes_sub_title,status,result,settlement_value_dollars,settlement_ts,close_time,expiration_value
KXWNBAGAME-25AUG07ATLCHI-CHI,KXWNBAGAME-25AUG07ATLCHI,Chicago,finalized,no,0.0,2025-08-08 02:13:46.670713+00:00,2025-08-08 02:08:46.719676+00:00,Atlanta
KXWNBAGAME-25AUG07CONNLA-CONN,KXWNBAGAME-25AUG07CONNLA,Connecticut,finalized,no,0.0,2025-08-08 04:21:58.660695+00:00,2025-08-08 04:16:58.433213+00:00,Los Angeles
KXWNBAGAME-25AUG07CONNLA-LA,KXWNBAGAME-25AUG07CONNLA,Los Angeles,finalized,yes,1.0,2025-08-08 04:21:58.660695+00:00,2025-08-08 04:16:58.433213+00:00,Los Angeles
KXWNBAGAME-25AUG07INDPHX-IND,KXWNBAGAME-25AUG07INDPHX,Indiana,finalized,no,0.0,2025-08-08 04:22:02.249789+00:00,2025-08-08 04:16:59.744653+00:00,Phoenix
KXWNBAGAME-25AUG07INDPHX-PHX,KXWNBAGAME-25AUG07INDPHX,Phoenix,finalized,yes,1.0,2025-08-08 04:22:02.249789+00:00,2025-08-08 04:16:59.744653+00:00,Phoenix
KXWNBAGAME-25AUG08NYDAL-DAL,KXWNBAGAME-25AUG08NYDAL,Dallas,finalized,no,0.0,2025-08-09 01:51:42.649428+00:00,2025-08-09 01:46:42.293679+00:00,New York
KXWNBAGAME-25AUG08NYDAL-NY,KXWNBAGAME-25AUG08NYDAL,New York,finalized,yes,1.0,2025-08-09 01:51:42.649428+00:00,2025-08-09 01:46:42.293679+00:00,New York
KXWNBAGAME-25AUG08SEALV-LV,KXWNBAGAME-25AUG08SEALV,Las Vegas,finalized,yes,1.0,2025-08-09 04:15:48.649441+00:00,2025-08-09 04:10:48.015621+00:00,Las Vegas
KXWNBAGAME-25AUG08SEALV-SEA,KXWNBAGAME-25AUG08SEALV,Seattle,finalized,no,0.0,2025-08-09 04:15:48.649441+00:00,2025-08-09 04:10:48.015621+00:00,Las Vegas
KXWNBAGAME-25AUG08WSHMIN-MIN,KXWNBAGAME-25AUG08WSHMIN,Minnesota,finalized,yes,1.0,2025-08-09 01:59:38.649816+00:00,2025-08-09 01:54:38.655539+00:00,Minnesota
