market_ticker,event_ticker,series_ticker,title,yes_sub_title,no_sub_title,status,market_type,open_time,close_time,expected_expiration_time,settlement_ts,rules_primary,rules_secondary,expiration_value,can_close_early,early_close_condition,result,settlement_value_dollars,last_price_dollars,volume_fp,open_interest_fp,custom_strike
KXWNBAGAME-25MAY25CONNATL-CONN,KXWNBAGAME-25MAY25CONNATL,KXWNBAGAME,Connecticut vs Atlanta Winner?,Connecticut,Connecticut,finalized,binary,2025-05-24 14:46:00+00:00,2025-05-25 21:04:12.737902+00:00,2025-05-25 22:00:00+00:00,2025-05-25 21:09:12.216234+00:00,"If Connecticut wins the Connecticut vs Atlanta professional women's basketball game originally scheduled for May 25, 2025, then the market resolves to Yes.","The following market refers to the Connecticut vs Atlanta professional women's basketball game originally scheduled for May 25, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Atlanta,True,This market will close and expire after a winner is declared.,no,0.0,0.01,21133.0,14588.0,{'basketball_team': 'f3080452-0b28-45e8-adf6-5b0cfa8347bd'}
KXWNBAGAME-25MAY25LVSEA-LV,KXWNBAGAME-25MAY25LVSEA,KXWNBAGAME,Las Vegas vs Seattle Winner?,Las Vegas,Las Vegas,finalized,binary,2025-05-24 14:46:00+00:00,2025-05-26 00:04:24.929665+00:00,2025-05-26 01:00:00+00:00,2025-05-26 00:09:24.215999+00:00,"If Las Vegas wins the Las Vegas vs Seattle professional women's basketball game originally scheduled for May 25, 2025, then the market resolves to Yes.","The following market refers to the Las Vegas vs Seattle professional women's basketball game originally scheduled for May 25, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Seattle,True,This market will close and expire after a winner is declared.,no,0.0,0.02,16114.0,10194.0,{'basketball_team': '3b8c40d9-1fac-4fb2-b861-dc3e2331d799'}
KXWNBAGAME-25MAY25LVSEA-SEA,KXWNBAGAME-25MAY25LVSEA,KXWNBAGAME,Las Vegas vs Seattle Winner?,Seattle,Seattle,finalized,binary,2025-05-24 14:46:00+00:00,2025-05-26 00:04:24.929665+00:00,2025-05-26 01:00:00+00:00,2025-05-26 00:09:24.215999+00:00,"If Seattle wins the Las Vegas vs Seattle professional women's basketball game originally scheduled for May 25, 2025, then the market resolves to Yes.","The following market refers to the Las Vegas vs Seattle professional women's basketball game originally scheduled for May 25, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Seattle,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,13752.0,7387.0,{'basketball_team': 'db3626f5-9c8b-4c2b-85d4-e29b5a0520f9'}
KXWNBAGAME-25MAY25WSHPHX-PHX,KXWNBAGAME-25MAY25WSHPHX,KXWNBAGAME,Washington vs Phoenix Winner?,Phoenix,Phoenix,finalized,binary,2025-05-24 14:46:00+00:00,2025-05-26 00:18:12.201992+00:00,2025-05-26 01:00:00+00:00,2025-05-26 00:23:12.215326+00:00,"If Phoenix wins the Washington vs Phoenix professional women's basketball game originally scheduled for May 25, 2025, then the market resolves to Yes.","The following market refers to the Washington vs Phoenix professional women's basketball game originally scheduled for May 25, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Phoenix,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,17055.0,9429.0,{'basketball_team': 'a007957c-46fa-4d50-82f8-48dd4da02ba6'}
KXWNBAGAME-25MAY25WSHPHX-WSH,KXWNBAGAME-25MAY25WSHPHX,KXWNBAGAME,Washington vs Phoenix Winner?,Washington,Washington,finalized,binary,2025-05-24 14:46:00+00:00,2025-05-26 00:18:12.201992+00:00,2025-05-26 01:00:00+00:00,2025-05-26 00:23:12.215326+00:00,"If Washington wins the Washington vs Phoenix professional women's basketball game originally scheduled for May 25, 2025, then the market resolves to Yes.","The following market refers to the Washington vs Phoenix professional women's basketball game originally scheduled for May 25, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Phoenix,True,This market will close and expire after a winner is declared.,no,0.0,0.01,16624.0,8072.0,{'basketball_team': '249eb221-9551-49f8-be0e-e0364a897126'}
KXWNBAGAME-25MAY27ATLLA-ATL,KXWNBAGAME-25MAY27ATLLA,KXWNBAGAME,Atlanta vs Los Angeles Winner?,Atlanta,Atlanta,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 04:18:31.457635+00:00,2025-05-28 05:00:00+00:00,2025-05-28 04:23:31.608274+00:00,"If Atlanta wins the Atlanta vs Los Angeles professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Atlanta vs Los Angeles professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Atlanta,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,37981.0,12617.0,{'basketball_team': 'b981c23e-ac45-4e4f-b2b3-cf434a4b1eb3'}
KXWNBAGAME-25MAY27ATLLA-LA,KXWNBAGAME-25MAY27ATLLA,KXWNBAGAME,Atlanta vs Los Angeles Winner?,Los Angeles,Los Angeles,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 04:18:31.457635+00:00,2025-05-28 05:00:00+00:00,2025-05-28 04:23:31.608274+00:00,"If Los Angeles wins the Atlanta vs Los Angeles professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Atlanta vs Los Angeles professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Atlanta,True,This market will close and expire after a winner is declared.,no,0.0,0.01,35389.0,19282.0,{'basketball_team': 'd42bc7b5-1ebd-472d-b74b-ffacfe4eea18'}
KXWNBAGAME-25MAY27CHIPHX-CHI,KXWNBAGAME-25MAY27CHIPHX,KXWNBAGAME,Chicago vs Phoenix Winner?,Chicago,Chicago,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 04:08:35.914752+00:00,2025-05-28 05:00:00+00:00,2025-05-28 04:13:35.617691+00:00,"If Chicago wins the Chicago vs Phoenix professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Chicago vs Phoenix professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Phoenix,True,This market will close and expire after a winner is declared.,no,0.0,0.01,89051.0,47881.0,{'basketball_team': '3512bac1-d718-416b-bd86-697f361f6e68'}
KXWNBAGAME-25MAY27CHIPHX-PHX,KXWNBAGAME-25MAY27CHIPHX,KXWNBAGAME,Chicago vs Phoenix Winner?,Phoenix,Phoenix,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 04:08:35.914752+00:00,2025-05-28 05:00:00+00:00,2025-05-28 04:13:35.617691+00:00,"If Phoenix wins the Chicago vs Phoenix professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Chicago vs Phoenix professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Phoenix,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,52833.0,20583.0,{'basketball_team': 'a007957c-46fa-4d50-82f8-48dd4da02ba6'}
KXWNBAGAME-25MAY27DALCONN-CONN,KXWNBAGAME-25MAY27DALCONN,KXWNBAGAME,Dallas vs Connecticut Winner?,Connecticut,Connecticut,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 01:16:31.821193+00:00,2025-05-28 02:00:00+00:00,2025-05-28 01:21:32.607481+00:00,"If Connecticut wins the Dallas vs Connecticut professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Dallas vs Connecticut professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Dallas,True,This market will close and expire after a winner is declared.,no,0.0,0.02,26376.0,17009.0,{'basketball_team': 'f3080452-0b28-45e8-adf6-5b0cfa8347bd'}
KXWNBAGAME-25MAY27DALCONN-DAL,KXWNBAGAME-25MAY27DALCONN,KXWNBAGAME,Dallas vs Connecticut Winner?,Dallas,Dallas,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 01:16:31.821193+00:00,2025-05-28 02:00:00+00:00,2025-05-28 01:21:32.607481+00:00,"If Dallas wins the Dallas vs Connecticut professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Dallas vs Connecticut professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Dallas,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,15435.0,7965.0,{'basketball_team': 'e1f8423b-aac4-4be1-a81e-934ca854f69c'}
KXWNBAGAME-25MAY27GSNY-GS,KXWNBAGAME-25MAY27GSNY,KXWNBAGAME,Golden State vs New York Winner?,Golden State,Golden State,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 01:03:18.164748+00:00,2025-05-28 02:00:00+00:00,2025-05-28 01:08:18.638139+00:00,"If Golden State wins the Golden State vs New York professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs New York professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",New York,True,This market will close and expire after a winner is declared.,no,0.0,0.02,86192.0,64687.0,{'basketball_team': '3da59c6b-c58b-4900-88cf-cf8382611868'}
KXWNBAGAME-25MAY27GSNY-NY,KXWNBAGAME-25MAY27GSNY,KXWNBAGAME,Golden State vs New York Winner?,New York,New York,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 01:03:18.164748+00:00,2025-05-28 02:00:00+00:00,2025-05-28 01:08:18.638139+00:00,"If New York wins the Golden State vs New York professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs New York professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",New York,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,26890.0,20681.0,{'basketball_team': '604e3820-06da-4bec-911b-63b33d203d42'}
KXWNBAGAME-25MAY27SEAMIN-MIN,KXWNBAGAME-25MAY27SEAMIN,KXWNBAGAME,Seattle vs Minnesota Winner?,Minnesota,Minnesota,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 02:24:36.876184+00:00,2025-05-28 03:00:00+00:00,2025-05-28 02:29:36.608443+00:00,"If Minnesota wins the Seattle vs Minnesota professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Seattle vs Minnesota professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Minnesota,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,33544.0,10281.0,{'basketball_team': 'a7cfa9e6-9741-48f0-a041-18915949e1c4'}
KXWNBAGAME-25MAY27SEAMIN-SEA,KXWNBAGAME-25MAY27SEAMIN,KXWNBAGAME,Seattle vs Minnesota Winner?,Seattle,Seattle,finalized,binary,2025-05-26 12:05:00+00:00,2025-05-28 02:24:36.876184+00:00,2025-05-28 03:00:00+00:00,2025-05-28 02:29:36.608443+00:00,"If Seattle wins the Seattle vs Minnesota professional women's basketball game originally scheduled for May 27, 2025, then the market resolves to Yes.","The following market refers to the Seattle vs Minnesota professional women's basketball game originally scheduled for May 27, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Minnesota,True,This market will close and expire after a winner is declared.,no,0.0,0.01,22285.0,11721.0,{'basketball_team': 'db3626f5-9c8b-4c2b-85d4-e29b5a0520f9'}
KXWNBAGAME-25MAY28INDWSH-IND,KXWNBAGAME-25MAY28INDWSH,KXWNBAGAME,Indiana vs Washington Winner?,Indiana,Indiana,finalized,binary,2025-05-27 14:26:00+00:00,2025-05-29 01:56:30.101058+00:00,2025-05-29 02:30:00+00:00,2025-05-29 02:02:25.836074+00:00,"If Indiana wins the Indiana vs Washington professional women's basketball game originally scheduled for May 28, 2025, then the market resolves to Yes.","The following market refers to the Indiana vs Washington professional women's basketball game originally scheduled for May 28, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Washington,True,This market will close and expire after a winner is declared.,no,0.0,0.01,42714.0,17188.0,{'basketball_team': '4a9939f7-dd96-474a-a036-525722701370'}
KXWNBAGAME-25MAY28INDWSH-WSH,KXWNBAGAME-25MAY28INDWSH,KXWNBAGAME,Indiana vs Washington Winner?,Washington,Washington,finalized,binary,2025-05-27 14:26:00+00:00,2025-05-29 01:56:30.101058+00:00,2025-05-29 02:30:00+00:00,2025-05-29 02:02:25.836074+00:00,"If Washington wins the Indiana vs Washington professional women's basketball game originally scheduled for May 28, 2025, then the market resolves to Yes.","The following market refers to the Indiana vs Washington professional women's basketball game originally scheduled for May 28, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Washington,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,46769.0,21273.0,{'basketball_team': '249eb221-9551-49f8-be0e-e0364a897126'}
KXWNBAGAME-25MAY29DALCHI-CHI,KXWNBAGAME-25MAY29DALCHI,KXWNBAGAME,Dallas vs Chicago Winner?,Chicago,Chicago,finalized,binary,2025-05-29 02:55:00+00:00,2025-05-30 02:12:30.725446+00:00,2025-05-30 03:00:00+00:00,2025-05-30 02:17:30.807916+00:00,"If Chicago wins the Dallas vs Chicago professional women's basketball game originally scheduled for May 29, 2025, then the market resolves to Yes.","The following market refers to the Dallas vs Chicago professional women's basketball game originally scheduled for May 29, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Chicago,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,35685.0,11627.0,{'basketball_team': '3512bac1-d718-416b-bd86-697f361f6e68'}
KXWNBAGAME-25MAY29DALCHI-DAL,KXWNBAGAME-25MAY29DALCHI,KXWNBAGAME,Dallas vs Chicago Winner?,Dallas,Dallas,finalized,binary,2025-05-29 02:55:00+00:00,2025-05-30 02:12:30.725446+00:00,2025-05-30 03:00:00+00:00,2025-05-30 02:17:30.807916+00:00,"If Dallas wins the Dallas vs Chicago professional women's basketball game originally scheduled for May 29, 2025, then the market resolves to Yes.","The following market refers to the Dallas vs Chicago professional women's basketball game originally scheduled for May 29, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",Chicago,True,This market will close and expire after a winner is declared.,no,0.0,0.02,49869.0,16976.0,{'basketball_team': 'e1f8423b-aac4-4be1-a81e-934ca854f69c'}
KXWNBAGAME-25MAY29GSNY-GS,KXWNBAGAME-25MAY29GSNY,KXWNBAGAME,Golden State vs New York Winner?,Golden State,Golden State,finalized,binary,2025-05-29 02:55:00+00:00,2025-05-30 01:16:17.504492+00:00,2025-05-30 02:00:00+00:00,2025-05-30 01:21:17.817659+00:00,"If Golden State wins the Golden State vs New York professional women's basketball game originally scheduled for May 29, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs New York professional women's basketball game originally scheduled for May 29, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",New York,True,This market will close and expire after a winner is declared.,no,0.0,0.01,149403.0,69361.0,{'basketball_team': '3da59c6b-c58b-4900-88cf-cf8382611868'}
KXWNBAGAME-25MAY29GSNY-NY,KXWNBAGAME-25MAY29GSNY,KXWNBAGAME,Golden State vs New York Winner?,New York,New York,finalized,binary,2025-05-29 02:55:00+00:00,2025-05-30 01:16:17.504492+00:00,2025-05-30 02:00:00+00:00,2025-05-30 01:21:17.817659+00:00,"If New York wins the Golden State vs New York professional women's basketball game originally scheduled for May 29, 2025, then the market resolves to Yes.","The following market refers to the Golden State vs New York professional women's basketball game originally scheduled for May 29, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",New York,True,This market will close and expire after a winner is declared.,yes,1.0,0.99,37258.0,21896.0,{'basketball_team': '604e3820-06da-4bec-911b-63b33d203d42'}
